"","score","text"
"1",1,"@hilttondias Vai na farm√°cia compra uns benegripes, vitamina c"
"2",-1,"@hilttondias Pr√≥ximo da festa"
"3",0,"O cora√ß√£o at√© bate mais r√°pido! https://t.co/BBmD8OaegE"
"4",-1,"@LFreisgouveia @_caamilajuliana Tinha esquecido"
"5",1,"T√¥ amando a play lista ""Cansada"" do Spotify"
"6",0,"@isacabral_ @kahclark Oi, me chamo q eu vou!"
"7",1,"@LFreisgouveia @_caamilajuliana Bora sair hoje ?"
"8",-1,"@kahclark Q foi q tu fez agora ?"
"9",0,"#testeR vai"
"10",0,"#testeR"
"11",0,"Gente, o que aconteceu ontem ?"
"12",0,"@_mujicabar e TOP. @LFreisgouveia  @_caamilajuliana"
"13",-1,"Gente, amanh√£ √© feriado e a√≠ j√° t√¥ cansado!"
"14",0,"@visoaresreis Falhei*"
"15",1,"-Caio q dia e sua banca ? 
Eu:Dia 20!
-T√° preparado?
Eu:Fia sei nem como escrever meu nome at√© l√°."
"16",2,"Serenidade no olhar d quem sabia q ia tirar 10 https://t.co/0aqyZNvUJ2"
"17",0,"@visoaresreis Eu j√° falei nesse projeto"
"18",1,"T√¥ b√™bado em plena segunda/ter√ßa e o TCC TA COMO ?"
"19",0,"Sobre uma #ChupaDireito @Brunacm3  q o diga! https://t.co/OlO7aA7SQJ"
"20",-1,"Ela tentou usar uma roupa parecida, tentou o mesmo corte de cabelo
tentou, vou te contar aonde ela errou!
Ela errou‚Ä¶ https://t.co/ZV3FBZGzzx"
"21",0,"@mariaanamota @Jamyyse Tu vai e D****"
"22",0,"@mariaanamota @Jamyyse Vou sair pra balada cheiroso"
"23",1,"@mariaanamota √© s√≥ pra testar n√£o ingerir"
"24",0,"@mariaanamota testando todos os cometidos da @Jamyyse"
"25",0,"Minha m√£e brigando pq eu vou pro Enem de ressaca. https://t.co/OxEIBYwlQ3"
"26",0,"Algu√©m diz pra minha m√£e q quando seu compromisso e as 8:30 vc n√£o acorda ela as 7:30"
"27",0,"@fellipefmg Onde eu vejo o v√≠deo ?"
"28",0,"@hilttondias Pior q funciona mesmo. Eu fiz vestibular virado d uma festa. Sai da festa direito pro vestibular"
"29",1,"@hilttondias P√≥s prova podemos Ì†ºÌΩÅ"
"30",0,"@hilttondias O senhor, tem prova amanh√£ d exatas. Deveria estar dormindo."
"31",-1,"@mmmmmmmmmcccccc Eu nunca tive"
"32",0,"@hilttondias Nossa eu queria muitooo"
"33",2,"Oi nen√©ns, t√¥ b√™bado. Por√©m pleno!"
"34",-1,"@Brunacm3 O que vai ser ?"
"35",1,"@perooola √â muito lindo esse bb"
"36",0,"@hilttondias Oi bb! T√¥ indo!"
"37",1,"Pensa num vento caro! https://t.co/PEu75YvnOq"
"38",0,"@livianaraujo palmas ta na mesma onda! Porem ainda faz calor"
"39",0,"@hilttondias Parece The Sims"
"40",0,"@isacabral_ @ariellalunardi Isso foi na aula de recorte e mande msg pras amigas ?"
"41",1,"Finalmente Brasil, esse momento √© meu! https://t.co/mxxD2rgvkR"
"42",0,"@phhgomes Bora sim. Nois Ì†ºÌΩÅ"
"43",2,"@perooola Queria ter a hora de Twittar isso. Por√©m dormi lindamente"
"44",2,"@phhgomes Digo nada s√≥ mostro"
"45",2,"@phhgomes Te falo nada mais! Digo q t√¥ com saudades d vc √© sou ignorado"
"46",0,"Quando vc encontra o orientador sem se programar Ì†ΩÌ∏ì"
"47",0,"Quando eu fico bebado e ningu√©m entende https://t.co/CBu9aJysY2"
"48",1,"Queria entender pq meu plano de 3 gigas na @ClaroBrasil n√£o chega ao final do ciclo, sendo que na faculdade tem Wi-‚Ä¶ https://t.co/ME57dMLSjp"
"49",3,"@andimgama Triste q teve q apanhar mais d uma vez pra cantar #Ressuscita"
"50",0,"@ferdspovoa Al√©m d pesada, n√£o acompanha a moda! Quem se veste como a Clara e o Gael?"
"51",-1,"@hilttondias Deixar registrado nesse site que eu vou estar alterado. Pq s√≥ @Deus  e o @SPC sabe quantos boletos ficaram em haver!"
"52",1,"@LordeVoIdemort @miguelvieirag  quando eu te ver tocando no feijuca quero essa m√∫sica"
"53",1,"@LordeVoIdemort @RafaelMansilha @walmeidaw  @iknowyoulie  n√£o sei o que dizer."
"54",1,"N√£o sei o que dizer, s√≥ sentir @Jamyyse @mariaanamota @vihcastr0 @AzevedMariana https://t.co/BOZFHgXpjI"
"55",1,"@Jamyyse Me chama pra ganhar tbm"
"56",1,"@phhgomes V√©i eu t√¥ com saudades d vc!"
"57",1,"Eu t√¥ bem tiste, me d√° uma cerveja gelada ?"
"58",0,"@paoladebortoli Me chama pra um choop"
"59",2,"@hilttondias Olha s√≥ quem eu vou ver no balada VIP Ì†æÌ¥£"
"60",1,"Alguem avisa q j√° √© 11h e a aula pode acabar"
"61",-3,"Pode ser pesado, mas me identifiquei https://t.co/B2yxIZ7u5L"
"62",0,"@kahclark Eita"
"63",1,"Quando sua amiga senta em um lugar diferente na sala @Apoh_Farias https://t.co/5XWgGA7Fp2"
"64",0,"@larissaparente N√ÉOOOOOOOOO j√° t√¥ indo l√° ligar."
"65",1,"@larissaparente Desliguei a chave geral. Parou!"
"66",2,"Hoje eu falhei d novo com o prop√≥sito do #TCCdoCaio"
"67",2,"S√≥ acabar o Masterchef e eu desligo a chave da energia dele"
"68",-1,"Gente eu quero tacar um tijolo na casa do vizinho. Tem 3 horas q a porra do alarme dele disparou e ningu√©m toma uma provid√™ncia."
"69",0,"@_serreal @mariaanamota @vihcastr0 @Jamyyse @AzevedMariana"
"70",0,"Ravi e o esparro do narguile no #MasterChefBr"
"71",2,"S√≥ eu q t√¥ com vontade d sentar e chorar ?"
"72",0,"@ronaldo_gui2 Sabe quando vc t√° FUDIDO, MAIS TA FUDIDO NESMO! Eu agora com meu TCC"
"73",1,"@RafaelMansilha @alechandreobeid @_serreal E com esses copos"
"74",1,"Eu s√≥ o que vai pra aula e n√£o leva o Notebook pra ter a desculpa de n√£o poder fazer a atividade"
"75",-1,"@ronaldo_gui2 Eu t√¥ no caminho certo. S√≥ n√£o t√¥ produzindo o TCC como deveria"
"76",0,"Agora posso fazer text√£o https://t.co/CDG2Qej2pk"
"77",0,"Como eu queria estar nesse momento. https://t.co/xEKcRTx8bP"
"78",-1,"Ontem eu tinha q ter feito um monte de coisas do meu TCC. Deitei e dormi. Acordei agora"
"79",0,"O ocorrido d ontem n√£o me afetou, o que est√° afetando e o fato deu contar pra uma amiga e ela n√£o se importar muito."
"80",1,"@em_eduarda Depois q vcs sa√≠ram. Um cara doido veio na mesa onde eu tava com meus amigos. Lentes j√° batendo no peito dele"
"81",0,"S√©rio t√¥ numa raiva"
"82",-1,"Quando se t√° na balada, um doido vem te bater e seus amigos reagem https://t.co/lEYJEFrHYT"
"83",1,"Minha m√£e mandou eu n√£o chegar bebado no #Enem"
"84",-1,"Amigo q e amigo nois faz assim https://t.co/h8cJ4tvJcf"
"85",1,"Quero sair hoje! Bora ?"
"86",0,"@hilttondias Me d√° as suas"
"87",0,"@vihcastr0 https://t.co/mT0hnPVfEu"
"88",-2,"@livianaraujo Eu ate agora n√£o sei o que to fazendo aqui!"
"89",-1,"Eu ate paro nas faixa para os pedestres passarem https://t.co/JV3EFRl8rL"
"90",1,"Felicidade me define https://t.co/jYmR9Gzz7D"
"91",1,"@livianaraujo Aceito"
"92",-1,"@livianaraujo que eu saiba n√£o"
"93",0,"@livianaraujo Uva passas tbm pode ?"
"94",0,"Parece que a outra rede social faz quest√£o de colocar a stories da @ na frente"
"95",-1,"Sobre amanha n√£o ter expediente @Josiane_Mendes https://t.co/wNIaz16RjM"
"96",0,"Odeio maionese com ma√ßa https://t.co/xkpbFoVz5B"
"97",1,"Eu odeio manga,  mas acabei d fazer um sorvete d manga q eu t√¥ d parab√©ns."
"98",-3,"O ruim do hor√°rio d ver√£o √© esse spoiler Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠Ì†ΩÌ∏≠. N√£o creio q o Rabo saiu. https://t.co/ehgiKM7QVR"
"99",3,"S√≥ tenho uma coisa pra dizer SEXTA E PONTO #FACULTATIVOOOOOOOOOOO Ì†ΩÌ≤Å‚ú® https://t.co/BICdgiCwMd"
"100",1,"@Matt_Nogueira Sopa √© bom, por√©m n√£o √© janta."
"101",0,"@visoaresreis Tem at√© a 3 temporada nesse site"
"102",0,"Nesse dia do Halloween eu recebi um boleto q me deixou assutado at√© agora."
"103",0,"O Senado quer aprovar o PLC28, que acaba com os apps de mobilidade. Junte-se a mim, diga N√ÉO. #LeiDoRetrocesso
https://t.co/uTriYEx0XZ"
"104",0,"@visoaresreis https://t.co/cZYU3OLcgM"
"105",1,"@visoaresreis Tem um site bom"
"106",1,"@mariaanamota √â bom?"
"107",1,"Status : cozinhado feij√£o"
"108",-1,"@Senador_Ataides, 17 milh√µes de pessoas usam o aplicativo e mais de 500 mil motoristas parceiros da Uber. N√£o podemos voltar ao passado."
"109",2,"Eu sou contra a Lei que pode acabar com os aplicativos de mobilidade #LeiDoRetrocesso #PL28 https://t.co/YT6mXXQSzr"
"110",2,"@iknowyoulie @Danvgn No meu caso do sol. Mais n√£o me posicionei sobre a inclus√£o d novos membros"
"111",-1,"@Danvgn @iknowyoulie N√£o votei  Ì†ΩÌ≤Å‚ú®"
"112",0,"Quando vc v√™ a @ na balada e da aquela olhar 4Ô∏è‚É£3Ô∏è‚É£ fatal https://t.co/mzbhB0xx41"
"113",1,"@visoaresreis Eu sou f√£"
"114",0,"Meus amigos me chamando pra comer feijoada. Mais eu n√£o gosto d feijoada Ì†ΩÌ∏•"
